Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 155, score: 10.0, average_score : 14.12, number of frames: 10, epsilon: 0.457510005540005
episode: 156, score: 10.0, average_score : 14.09, number of frames: 10, epsilon: 0.45522245551230495
episode: 157, score: 12.0, average_score : 14.09, number of frames: 12, epsilon: 0.4529463432347434
episode: 158, score: 11.0, average_score : 14.04, number of frames: 11, epsilon: 0.4506816115185697
episode: 159, score: 10.0, average_score : 13.95, number of frames: 10, epsilon: 0.4484282034609769
episode: 160, score: 12.0, average_score : 13.89, number of frames: 12, epsilon: 0.446186062443672
episode: 161, score: 10.0, average_score : 13.87, number of frames: 10, epsilon: 0.4439551321314536
episode: 162, score: 14.0, average_score : 13.81, number of frames: 14, epsilon: 0.4417353564707963
episode: 163, score: 12.0, average_score : 13.83, number of frames: 12, epsilon: 0.43952667968844233
episode: 164, score: 12.0, average_score : 13.74, number of frames: 12, epsilon: 0.43732904629000013
episode: 165, score: 11.0, average_score : 13.75, number of frames: 11, epsilon: 0.4351424010585501
episode: 166, score: 11.0, average_score : 13.74, number of frames: 11, epsilon: 0.43296668905325736
episode: 167, score: 12.0, average_score : 13.74, number of frames: 12, epsilon: 0.43080185560799106
episode: 168, score: 11.0, average_score : 13.75, number of frames: 11, epsilon: 0.4286478463299511
episode: 169, score: 10.0, average_score : 13.6, number of frames: 10, epsilon: 0.42650460709830135
episode: 170, score: 16.0, average_score : 13.61, number of frames: 16, epsilon: 0.42437208406280985
episode: 171, score: 13.0, average_score : 13.62, number of frames: 13, epsilon: 0.4222502236424958
episode: 172, score: 10.0, average_score : 13.59, number of frames: 10, epsilon: 0.42013897252428334
episode: 173, score: 18.0, average_score : 13.66, number of frames: 18, epsilon: 0.4180382776616619
episode: 174, score: 12.0, average_score : 13.48, number of frames: 12, epsilon: 0.4159480862733536
episode: 175, score: 9.0, average_score : 13.44, number of frames: 9, epsilon: 0.41386834584198684
episode: 176, score: 10.0, average_score : 13.42, number of frames: 10, epsilon: 0.4117990041127769
episode: 177, score: 12.0, average_score : 13.34, number of frames: 12, epsilon: 0.40974000909221303
episode: 178, score: 9.0, average_score : 13.29, number of frames: 9, epsilon: 0.40769130904675194
episode: 179, score: 13.0, average_score : 13.28, number of frames: 13, epsilon: 0.40565285250151817
episode: 180, score: 10.0, average_score : 13.29, number of frames: 10, epsilon: 0.4036245882390106
episode: 181, score: 12.0, average_score : 13.26, number of frames: 12, epsilon: 0.4016064652978155
episode: 182, score: 12.0, average_score : 13.22, number of frames: 12, epsilon: 0.3995984329713264
episode: 183, score: 10.0, average_score : 13.14, number of frames: 10, epsilon: 0.3976004408064698
episode: 184, score: 8.0, average_score : 13.09, number of frames: 8, epsilon: 0.39561243860243744
episode: 185, score: 17.0, average_score : 13.1, number of frames: 17, epsilon: 0.3936343764094253
episode: 186, score: 15.0, average_score : 13.12, number of frames: 15, epsilon: 0.39166620452737816
episode: 187, score: 14.0, average_score : 13.1, number of frames: 14, epsilon: 0.3897078735047413
episode: 188, score: 11.0, average_score : 13.1, number of frames: 11, epsilon: 0.3877593341372176
episode: 189, score: 8.0, average_score : 13.04, number of frames: 8, epsilon: 0.3858205374665315
episode: 190, score: 11.0, average_score : 13.05, number of frames: 11, epsilon: 0.38389143477919885
episode: 191, score: 11.0, average_score : 13.02, number of frames: 11, epsilon: 0.3819719776053028
episode: 192, score: 10.0, average_score : 12.96, number of frames: 10, epsilon: 0.3800621177172763
episode: 193, score: 19.0, average_score : 13.02, number of frames: 19, epsilon: 0.37816180712868996
episode: 194, score: 12.0, average_score : 12.98, number of frames: 12, epsilon: 0.37627099809304654
episode: 195, score: 8.0, average_score : 12.88, number of frames: 8, epsilon: 0.3743896431025813
episode: 196, score: 13.0, average_score : 12.87, number of frames: 13, epsilon: 0.37251769488706843
episode: 197, score: 20.0, average_score : 12.9, number of frames: 20, epsilon: 0.3706551064126331
episode: 198, score: 10.0, average_score : 12.91, number of frames: 10, epsilon: 0.36880183088056995
episode: 199, score: 9.0, average_score : 12.81, number of frames: 9, epsilon: 0.3669578217261671
episode: 200, score: 10.0, average_score : 12.83, number of frames: 10, epsilon: 0.36512303261753626
episode: 201, score: 14.0, average_score : 12.84, number of frames: 14, epsilon: 0.3632974174544486
episode: 202, score: 12.0, average_score : 12.8, number of frames: 12, epsilon: 0.3614809303671764
episode: 203, score: 18.0, average_score : 12.85, number of frames: 18, epsilon: 0.3596735257153405
episode: 204, score: 68.0, average_score : 13.4, number of frames: 68, epsilon: 0.3578751580867638
episode: 205, score: 61.0, average_score : 13.83, number of frames: 61, epsilon: 0.35608578229633
episode: 206, score: 72.0, average_score : 14.41, number of frames: 72, epsilon: 0.3543053533848483
episode: 207, score: 67.0, average_score : 14.86, number of frames: 67, epsilon: 0.35253382661792404
episode: 208, score: 104.0, average_score : 15.72, number of frames: 104, epsilon: 0.3507711574848344
episode: 209, score: 153.0, average_score : 17.07, number of frames: 153, epsilon: 0.34901730169741024
episode: 210, score: 176.0, average_score : 18.73, number of frames: 176, epsilon: 0.3472722151889232
episode: 211, score: 88.0, average_score : 19.45, number of frames: 88, epsilon: 0.3455358541129786
episode: 212, score: 221.0, average_score : 21.53, number of frames: 221, epsilon: 0.3438081748424137
episode: 213, score: 209.0, average_score : 23.52, number of frames: 209, epsilon: 0.3420891339682016
episode: 214, score: 161.0, average_score : 24.91, number of frames: 161, epsilon: 0.3403786882983606
episode: 215, score: 135.0, average_score : 26.16, number of frames: 135, epsilon: 0.3386767948568688
episode: 216, score: 155.0, average_score : 27.63, number of frames: 155, epsilon: 0.33698341088258443
episode: 217, score: 230.0, average_score : 29.73, number of frames: 230, epsilon: 0.3352984938281715
episode: 218, score: 143.0, average_score : 30.99, number of frames: 143, epsilon: 0.33362200135903064
episode: 219, score: 158.0, average_score : 32.47, number of frames: 158, epsilon: 0.33195389135223546
episode: 220, score: 30.0, average_score : 32.67, number of frames: 30, epsilon: 0.3302941218954743
episode: 221, score: 83.0, average_score : 33.27, number of frames: 83, epsilon: 0.32864265128599696
episode: 222, score: 123.0, average_score : 34.38, number of frames: 123, epsilon: 0.326999438029567
episode: 223, score: 86.0, average_score : 35.13, number of frames: 86, epsilon: 0.3253644408394192
episode: 224, score: 29.0, average_score : 35.18, number of frames: 29, epsilon: 0.3237376186352221
episode: 225, score: 121.0, average_score : 36.3, number of frames: 121, epsilon: 0.322118930542046
