Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 167, score: -59.755424356245165, average_score : -129.97823344463114, number of frames: 144, epsilon: 0.7143827122626694
episode: 168, score: -105.29612371719821, average_score : -129.40243345455073, number of frames: 104, epsilon: 0.7129539468381441
episode: 169, score: -170.47107681634432, average_score : -129.92395871404736, number of frames: 108, epsilon: 0.7115280389444678
episode: 170, score: -40.28154298544896, average_score : -128.58711693797923, number of frames: 100, epsilon: 0.7101049828665789
episode: 171, score: -69.16905826071186, average_score : -126.25187648615383, number of frames: 98, epsilon: 0.7086847729008457
episode: 172, score: -75.1513966429122, average_score : -124.48536171075583, number of frames: 117, epsilon: 0.707267403355044
episode: 173, score: -63.292807695420876, average_score : -124.89843287322017, number of frames: 135, epsilon: 0.705852868548334
episode: 174, score: -59.185718384066234, average_score : -124.40422480296407, number of frames: 101, epsilon: 0.7044411628112373
episode: 175, score: -52.58611447543012, average_score : -123.94850433469509, number of frames: 98, epsilon: 0.7030322804856147
episode: 176, score: -29.021288121706633, average_score : -123.33596089919023, number of frames: 111, epsilon: 0.7016262159246435
episode: 177, score: -14.274999020197825, average_score : -122.34620254727321, number of frames: 148, epsilon: 0.7002229634927942
episode: 178, score: -26.022596496768642, average_score : -121.28981827404124, number of frames: 151, epsilon: 0.6988225175658086
episode: 179, score: -122.3822662743676, average_score : -120.82571945876616, number of frames: 143, epsilon: 0.697424872530677
episode: 180, score: -217.06866559909287, average_score : -121.05367012391851, number of frames: 111, epsilon: 0.6960300227856157
episode: 181, score: -3.8391138917439775, average_score : -119.5936478379191, number of frames: 125, epsilon: 0.6946379627400444
episode: 182, score: -73.25116043837029, average_score : -118.69084448593823, number of frames: 101, epsilon: 0.6932486868145643
episode: 183, score: -109.83535659868988, average_score : -119.32893385976227, number of frames: 80, epsilon: 0.6918621894409351
episode: 184, score: 8.926586135154622, average_score : -118.55571586238801, number of frames: 209, epsilon: 0.6904784650620532
episode: 185, score: -131.1881822616379, average_score : -118.0745479104957, number of frames: 96, epsilon: 0.6890975081319292
episode: 186, score: -55.42805944579052, average_score : -116.57599560628421, number of frames: 132, epsilon: 0.6877193131156653
episode: 187, score: -248.82107444965115, average_score : -116.52073028385274, number of frames: 115, epsilon: 0.6863438744894339
episode: 188, score: -94.47624959416369, average_score : -115.63454200645835, number of frames: 92, epsilon: 0.684971186740455
episode: 189, score: -68.74585493422029, average_score : -114.46301338185908, number of frames: 93, epsilon: 0.6836012443669741
episode: 190, score: -128.67274992197548, average_score : -114.96203884648156, number of frames: 118, epsilon: 0.6822340418782402
episode: 191, score: -12.399752055216155, average_score : -114.65775625657614, number of frames: 146, epsilon: 0.6808695737944838
episode: 192, score: -11.81998135932605, average_score : -114.58287977895907, number of frames: 127, epsilon: 0.6795078346468948
episode: 193, score: -106.51853679066889, average_score : -115.21400936298137, number of frames: 109, epsilon: 0.678148818977601
episode: 194, score: -79.29778988080508, average_score : -112.68808942463681, number of frames: 83, epsilon: 0.6767925213396458
episode: 195, score: -84.61265581411747, average_score : -112.34406651293766, number of frames: 122, epsilon: 0.6754389362969666
episode: 196, score: 3.5415691401943405, average_score : -111.14842953860692, number of frames: 126, epsilon: 0.6740880584243727
episode: 197, score: -365.5221323398761, average_score : -111.79059924178642, number of frames: 127, epsilon: 0.6727398823075239
episode: 198, score: -46.49825320508121, average_score : -111.09657577131487, number of frames: 83, epsilon: 0.6713944025429088
episode: 199, score: 1.564043341555731, average_score : -109.91539415914109, number of frames: 100, epsilon: 0.670051613737823
episode: 200, score: -28.02627298699454, average_score : -108.53100960466475, number of frames: 79, epsilon: 0.6687115105103473
episode: 201, score: -47.0211481358788, average_score : -108.55499713769886, number of frames: 137, epsilon: 0.6673740874893266
episode: 202, score: -52.78230842342887, average_score : -107.77668461386779, number of frames: 116, epsilon: 0.6660393393143479
episode: 203, score: -45.48579022391206, average_score : -107.15351102358876, number of frames: 112, epsilon: 0.6647072606357192
episode: 204, score: -10.598518479646557, average_score : -105.90687289453972, number of frames: 112, epsilon: 0.6633778461144477
episode: 205, score: -14.138806991122905, average_score : -104.71055395986747, number of frames: 137, epsilon: 0.6620510904222189
episode: 206, score: -17.858918596654235, average_score : -103.47093533053543, number of frames: 172, epsilon: 0.6607269882413744
episode: 207, score: -60.16042560927974, average_score : -101.10987628641847, number of frames: 88, epsilon: 0.6594055342648917
episode: 208, score: -107.92419684342806, average_score : -101.20605379259183, number of frames: 104, epsilon: 0.6580867231963619
episode: 209, score: -44.421389077001926, average_score : -99.66032558704235, number of frames: 144, epsilon: 0.6567705497499692
episode: 210, score: -91.77891945154722, average_score : -99.56399913795796, number of frames: 124, epsilon: 0.6554570086504692
episode: 211, score: -14.499904165297806, average_score : -97.25908342899046, number of frames: 142, epsilon: 0.6541460946331682
episode: 212, score: -89.91705216054162, average_score : -96.42388704273186, number of frames: 76, epsilon: 0.6528378024439019
episode: 213, score: -96.77988597252252, average_score : -96.03648820989005, number of frames: 120, epsilon: 0.6515321268390141
episode: 214, score: -91.6402917748534, average_score : -95.65400986597555, number of frames: 99, epsilon: 0.6502290625853361
episode: 215, score: -208.59128767288985, average_score : -97.48559770177718, number of frames: 114, epsilon: 0.6489286044601654
