Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 155, score: -260.3475888100321, average_score : -167.05311016680014, number of frames: 106, epsilon: 0.7317528807481981
episode: 156, score: -68.44601384839848, average_score : -165.30273177704296, number of frames: 153, epsilon: 0.7302893749867018
episode: 157, score: -133.5569456995462, average_score : -165.07300157253366, number of frames: 124, epsilon: 0.7288287962367284
episode: 158, score: -138.94928171278877, average_score : -165.43816968066608, number of frames: 75, epsilon: 0.727371138644255
episode: 159, score: -75.70464436485192, average_score : -165.06898413660335, number of frames: 92, epsilon: 0.7259163963669665
episode: 160, score: -137.265194273612, average_score : -164.89023099014517, number of frames: 121, epsilon: 0.7244645635742325
episode: 161, score: -106.31149002458109, average_score : -164.97150675288268, number of frames: 99, epsilon: 0.723015634447084
episode: 162, score: -126.08037249865967, average_score : -163.02449479156493, number of frames: 88, epsilon: 0.7215696031781899
episode: 163, score: -198.34539541206118, average_score : -164.04940994815288, number of frames: 131, epsilon: 0.7201264639718334
episode: 164, score: -19.874290189356657, average_score : -163.44905975378154, number of frames: 196, epsilon: 0.7186862110438897
episode: 165, score: -97.27164729113838, average_score : -161.63716554561796, number of frames: 141, epsilon: 0.717248838621802
episode: 166, score: -131.0445552755563, average_score : -162.73985864642538, number of frames: 97, epsilon: 0.7158143409445584
episode: 167, score: -278.3034601724434, average_score : -161.50322207255738, number of frames: 160, epsilon: 0.7143827122626694
episode: 168, score: -140.91529711595155, average_score : -159.24696364834966, number of frames: 95, epsilon: 0.7129539468381441
episode: 169, score: -29.85578161561162, average_score : -158.96310442602646, number of frames: 145, epsilon: 0.7115280389444678
episode: 170, score: -473.57741652980354, average_score : -163.19164022450548, number of frames: 98, epsilon: 0.7101049828665789
episode: 171, score: -267.54695166585594, average_score : -164.46982058610502, number of frames: 84, epsilon: 0.7086847729008457
episode: 172, score: -63.020772730619264, average_score : -163.5457437795777, number of frames: 138, epsilon: 0.707267403355044
episode: 173, score: -136.4283372679996, average_score : -164.3353296721187, number of frames: 140, epsilon: 0.705852868548334
episode: 174, score: -149.95385679736358, average_score : -164.8927795802613, number of frames: 153, epsilon: 0.7044411628112373
episode: 175, score: -208.00204004532736, average_score : -165.93916981809315, number of frames: 129, epsilon: 0.7030322804856147
episode: 176, score: -116.202527788196, average_score : -164.25897914066158, number of frames: 86, epsilon: 0.7016262159246435
episode: 177, score: -21.557142952286156, average_score : -161.74032140162964, number of frames: 89, epsilon: 0.7002229634927942
episode: 178, score: -305.4763898486441, average_score : -161.1214269340906, number of frames: 154, epsilon: 0.6988225175658086
episode: 179, score: -192.18044219064296, average_score : -162.2339749083556, number of frames: 110, epsilon: 0.697424872530677
episode: 180, score: -40.46281628347484, average_score : -159.2885022133547, number of frames: 117, epsilon: 0.6960300227856157
episode: 181, score: -392.0647389433085, average_score : -162.0155414318422, number of frames: 185, epsilon: 0.6946379627400444
episode: 182, score: -369.9564293688239, average_score : -164.4285272655051, number of frames: 169, epsilon: 0.6932486868145643
episode: 183, score: -222.11823273881149, average_score : -162.5137392783064, number of frames: 143, epsilon: 0.6918621894409351
episode: 184, score: -198.19463533997447, average_score : -160.6574541641125, number of frames: 105, epsilon: 0.6904784650620532
episode: 185, score: -109.80595559594656, average_score : -159.68908413277651, number of frames: 116, epsilon: 0.6890975081319292
episode: 186, score: -7.031361995808069, average_score : -157.62126898110515, number of frames: 126, epsilon: 0.6877193131156653
episode: 187, score: -190.47551370388808, average_score : -157.5012807734124, number of frames: 74, epsilon: 0.6863438744894339
episode: 188, score: -136.58300846197147, average_score : -157.9378279137943, number of frames: 151, epsilon: 0.684971186740455
episode: 189, score: -58.11594797339379, average_score : -154.53823259808993, number of frames: 136, epsilon: 0.6836012443669741
episode: 190, score: -111.01900685818673, average_score : -152.75387207784306, number of frames: 112, epsilon: 0.6822340418782402
episode: 191, score: -83.4698153615195, average_score : -152.9135410144303, number of frames: 180, epsilon: 0.6808695737944838
episode: 192, score: -117.82541391771568, average_score : -152.1958830489499, number of frames: 191, epsilon: 0.6795078346468948
episode: 193, score: -240.97335870338702, average_score : -151.51995685905788, number of frames: 117, epsilon: 0.678148818977601
episode: 194, score: -138.39551256067625, average_score : -151.17900660835102, number of frames: 178, epsilon: 0.6767925213396458
episode: 195, score: -148.241402018835, average_score : -151.7304740784146, number of frames: 195, epsilon: 0.6754389362969666
episode: 196, score: -75.63549553458363, average_score : -149.79259332878658, number of frames: 85, epsilon: 0.6740880584243727
episode: 197, score: -147.634380978561, average_score : -149.01947870219982, number of frames: 159, epsilon: 0.6727398823075239
episode: 198, score: -35.72385741055031, average_score : -148.85694339412606, number of frames: 165, epsilon: 0.6713944025429088
episode: 199, score: -66.37109757869933, average_score : -147.13712598091513, number of frames: 159, epsilon: 0.670051613737823
episode: 200, score: -73.45394687617406, average_score : -146.87014171909405, number of frames: 93, epsilon: 0.6687115105103473
episode: 201, score: -349.24973542899306, average_score : -149.0912948255483, number of frames: 157, epsilon: 0.6673740874893266
episode: 202, score: -91.23609009321581, average_score : -146.979063854124, number of frames: 172, epsilon: 0.6660393393143479
episode: 203, score: -198.71123608478092, average_score : -148.55502783460986, number of frames: 105, epsilon: 0.6647072606357192
episode: 204, score: -70.45613606019313, average_score : -147.06605779204583, number of frames: 100, epsilon: 0.6633778461144477
episode: 205, score: -108.08128983709705, average_score : -147.03437725607463, number of frames: 117, epsilon: 0.6620510904222189
episode: 206, score: -154.937723991844, average_score : -147.37895010829376, number of frames: 137, epsilon: 0.6607269882413744
episode: 207, score: -168.02882945104616, average_score : -146.3081691495753, number of frames: 132, epsilon: 0.6594055342648917
episode: 208, score: -56.22845597470635, average_score : -143.46698191510714, number of frames: 195, epsilon: 0.6580867231963619
episode: 209, score: -118.14960154380988, average_score : -142.46264091145633, number of frames: 91, epsilon: 0.6567705497499692
episode: 210, score: -118.03807419978138, average_score : -142.11465562617192, number of frames: 115, epsilon: 0.6554570086504692
episode: 211, score: -35.310605576180336, average_score : -138.68152657093142, number of frames: 103, epsilon: 0.6541460946331682
episode: 212, score: 5.318284962150528, average_score : -138.35198200421905, number of frames: 132, epsilon: 0.6528378024439019
episode: 213, score: -149.39131974946196, average_score : -138.01490075105158, number of frames: 154, epsilon: 0.6515321268390141
episode: 214, score: -94.0616899650458, average_score : -138.1596814189622, number of frames: 183, epsilon: 0.6502290625853361
episode: 215, score: -75.91790947750144, average_score : -138.52165086723343, number of frames: 125, epsilon: 0.6489286044601654
episode: 216, score: -269.58662802756476, average_score : -140.85992177595963, number of frames: 142, epsilon: 0.6476307472512451
episode: 217, score: -120.00779029228809, average_score : -141.56909169935133, number of frames: 103, epsilon: 0.6463354857567426
episode: 218, score: -94.02929548505803, average_score : -141.87743272170763, number of frames: 81, epsilon: 0.6450428147852291
episode: 219, score: -78.59462869754388, average_score : -141.66944295810382, number of frames: 117, epsilon: 0.6437527291556586
episode: 220, score: -123.88228086594681, average_score : -141.65597175173963, number of frames: 141, epsilon: 0.6424652236973473
episode: 221, score: -302.321797701639, average_score : -141.05541510103228, number of frames: 148, epsilon: 0.6411802932499525
episode: 222, score: 2.956980678140397, average_score : -140.07346492743193, number of frames: 88, epsilon: 0.6398979326634526
episode: 223, score: -152.710856481969, average_score : -139.19482109766713, number of frames: 168, epsilon: 0.6386181367981257
episode: 224, score: -70.8736141289559, average_score : -139.0767496580752, number of frames: 151, epsilon: 0.6373409005245295
episode: 225, score: -108.30870822245895, average_score : -138.77849446446376, number of frames: 100, epsilon: 0.6360662187234805
episode: 226, score: -100.4579774101355, average_score : -138.14559703410424, number of frames: 260, epsilon: 0.6347940862860335
episode: 227, score: -66.14862857736131, average_score : -137.7386542264281, number of frames: 167, epsilon: 0.6335244981134615
episode: 228, score: -162.29594762100572, average_score : -138.32150642414, number of frames: 104, epsilon: 0.6322574491172346
episode: 229, score: -45.18941014239374, average_score : -137.46204508976828, number of frames: 203, epsilon: 0.6309929342190002
episode: 230, score: -1.4838396803511529, average_score : -136.9046327776051, number of frames: 123, epsilon: 0.6297309483505622
episode: 231, score: -123.09717700184855, average_score : -136.63725059588222, number of frames: 136, epsilon: 0.6284714864538611
episode: 232, score: -16.539913783801637, average_score : -136.67749848055743, number of frames: 126, epsilon: 0.6272145434809534
episode: 233, score: -124.29701116685905, average_score : -136.5874171531555, number of frames: 151, epsilon: 0.6259601143939915
episode: 234, score: -149.3483203501928, average_score : -136.19152457101148, number of frames: 116, epsilon: 0.6247081941652035
episode: 235, score: -90.33676065897494, average_score : -135.8987764352575, number of frames: 134, epsilon: 0.6234587777768731
episode: 236, score: -103.94564417477697, average_score : -134.97344829949873, number of frames: 173, epsilon: 0.6222118602213194
episode: 237, score: -140.01435007289984, average_score : -134.990454685164, number of frames: 239, epsilon: 0.6209674365008767
episode: 238, score: -177.56405925097653, average_score : -135.34548260678895, number of frames: 121, epsilon: 0.619725501627875
episode: 239, score: -103.00889990993439, average_score : -134.73578244598116, number of frames: 166, epsilon: 0.6184860506246193
episode: 240, score: -67.73210962716712, average_score : -134.44035614066073, number of frames: 142, epsilon: 0.61724907852337
episode: 241, score: -59.98709624188768, average_score : -134.24165220143448, number of frames: 142, epsilon: 0.6160145803663232
episode: 242, score: -46.202276256895715, average_score : -133.97753763863884, number of frames: 181, epsilon: 0.6147825512055906
episode: 243, score: -139.67627707446306, average_score : -134.43360521256105, number of frames: 90, epsilon: 0.6135529861031793
episode: 244, score: -278.4302865792698, average_score : -134.84772123602653, number of frames: 164, epsilon: 0.612325880130973
episode: 245, score: -91.24247020901947, average_score : -133.56533263523968, number of frames: 139, epsilon: 0.611101228370711
