Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 116, score: -103.4843744208713, average_score : -129.3892158996436, number of frames: 86, epsilon: 0.5562889678716474
episode: 117, score: -71.02324915732343, average_score : -128.57722820095998, number of frames: 293, epsilon: 0.5535075230322891
episode: 118, score: -83.4762178087971, average_score : -129.5798584236205, number of frames: 141, epsilon: 0.5507399854171277
episode: 119, score: -63.52337508796898, average_score : -126.21605088191394, number of frames: 85, epsilon: 0.547986285490042
episode: 120, score: -25.352539753106797, average_score : -123.7706404805473, number of frames: 245, epsilon: 0.5452463540625918
episode: 121, score: -27.668278961604656, average_score : -122.35724272805739, number of frames: 150, epsilon: 0.5425201222922789
episode: 122, score: -123.3913790457953, average_score : -119.51025798750618, number of frames: 119, epsilon: 0.5398075216808175
episode: 123, score: -92.27458088956931, average_score : -117.76922099045805, number of frames: 97, epsilon: 0.5371084840724134
episode: 124, score: -97.04924334504828, average_score : -117.21677644000825, number of frames: 167, epsilon: 0.5344229416520513
episode: 125, score: -69.32264365889105, average_score : -113.35577818762256, number of frames: 250, epsilon: 0.531750826943791
episode: 126, score: -57.79063421856376, average_score : -112.65607051001084, number of frames: 360, epsilon: 0.5290920728090721
episode: 127, score: -0.384662953024403, average_score : -111.74911051759764, number of frames: 253, epsilon: 0.5264466124450268
episode: 128, score: -103.69185916891838, average_score : -110.5926906784526, number of frames: 247, epsilon: 0.5238143793828016
episode: 129, score: -55.337150125597674, average_score : -110.67157673598622, number of frames: 139, epsilon: 0.5211953074858876
episode: 130, score: -119.03043162636763, average_score : -111.3133371613933, number of frames: 125, epsilon: 0.5185893309484582
episode: 131, score: -285.55182945630804, average_score : -113.34026997211784, number of frames: 345, epsilon: 0.5159963842937159
episode: 132, score: -44.257263138802685, average_score : -112.21446198209158, number of frames: 148, epsilon: 0.5134164023722473
episode: 133, score: -20.070305935965635, average_score : -110.27571717214046, number of frames: 361, epsilon: 0.510849320360386
episode: 134, score: -37.2197833247348, average_score : -109.50882884505012, number of frames: 144, epsilon: 0.5082950737585841
episode: 135, score: -74.23925516004564, average_score : -109.40508527545865, number of frames: 296, epsilon: 0.5057535983897912
episode: 136, score: -65.19908035519485, average_score : -110.14197149991806, number of frames: 184, epsilon: 0.5032248303978422
episode: 137, score: -14.426003605340526, average_score : -108.95618507684917, number of frames: 373, epsilon: 0.500708706245853
episode: 138, score: -61.888803493764776, average_score : -108.83111857030022, number of frames: 199, epsilon: 0.4982051627146237
episode: 139, score: 40.00935826725812, average_score : -106.63792935544285, number of frames: 1000, epsilon: 0.49571413690105054
episode: 140, score: 67.8123675055092, average_score : -105.67920425283586, number of frames: 1000, epsilon: 0.4932355662165453
episode: 141, score: -74.90562063717104, average_score : -105.79865558301962, number of frames: 205, epsilon: 0.4907693883854626
episode: 142, score: -64.94770543781388, average_score : -102.58825252772118, number of frames: 319, epsilon: 0.4883155414435353
episode: 143, score: 13.817030874573732, average_score : -101.96880907840804, number of frames: 157, epsilon: 0.4858739637363176
episode: 144, score: -103.02200253337783, average_score : -101.67621690663682, number of frames: 121, epsilon: 0.483444593917636
episode: 145, score: -15.592378208914184, average_score : -101.01982567640283, number of frames: 428, epsilon: 0.4810273709480478
episode: 146, score: -118.83074632866013, average_score : -101.65668876970904, number of frames: 108, epsilon: 0.47862223409330756
episode: 147, score: -50.42374661584091, average_score : -99.87460322816337, number of frames: 189, epsilon: 0.47622912292284103
episode: 148, score: 26.421506407765264, average_score : -98.01530149035642, number of frames: 135, epsilon: 0.4738479773082268
episode: 149, score: -34.198827845692364, average_score : -96.8773201518827, number of frames: 136, epsilon: 0.47147873742168567
episode: 150, score: -99.71903512564027, average_score : -97.59220013684104, number of frames: 145, epsilon: 0.46912134373457726
episode: 151, score: -48.883275838206565, average_score : -95.41112967197674, number of frames: 495, epsilon: 0.46677573701590436
episode: 152, score: -39.86440415174998, average_score : -94.16414789966693, number of frames: 438, epsilon: 0.46444185833082485
episode: 153, score: -53.240924452785706, average_score : -91.78844384402566, number of frames: 381, epsilon: 0.46211964903917074
episode: 154, score: -69.77300710227864, average_score : -91.47316898039657, number of frames: 1000, epsilon: 0.4598090507939749
episode: 155, score: -13.93622492284419, average_score : -90.81996589833345, number of frames: 194, epsilon: 0.457510005540005
episode: 156, score: -96.33356123697537, average_score : -90.75126756603748, number of frames: 324, epsilon: 0.45522245551230495
episode: 157, score: -50.45039358644971, average_score : -88.74130101289698, number of frames: 424, epsilon: 0.4529463432347434
episode: 158, score: -123.16193975949462, average_score : -88.57165194996014, number of frames: 214, epsilon: 0.4506816115185697
episode: 159, score: -45.41841944546705, average_score : -88.2112912603382, number of frames: 505, epsilon: 0.4484282034609769
episode: 160, score: -45.45929249478225, average_score : -87.80257791961293, number of frames: 324, epsilon: 0.446186062443672
episode: 161, score: -61.04408237955743, average_score : -87.46236456468908, number of frames: 358, epsilon: 0.4439551321314536
episode: 162, score: -95.6028954940252, average_score : -87.93570129974636, number of frames: 899, epsilon: 0.4417353564707963
episode: 163, score: -64.34217151769613, average_score : -87.00681236993833, number of frames: 220, epsilon: 0.43952667968844233
episode: 164, score: -139.3264187104159, average_score : -86.15920180230172, number of frames: 518, epsilon: 0.43732904629000013
