Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 185, score: -56.696379880956755, average_score : -89.05421318475537, number of frames: 118, epsilon: 0.6890975081319292
episode: 186, score: 18.411989756096986, average_score : -87.50599275339209, number of frames: 146, epsilon: 0.6877193131156653
episode: 187, score: -40.46140142267015, average_score : -87.28082400658123, number of frames: 195, epsilon: 0.6863438744894339
episode: 188, score: -71.68071002797618, average_score : -86.83964434247622, number of frames: 119, epsilon: 0.684971186740455
episode: 189, score: -157.31188598296663, average_score : -87.70680346607993, number of frames: 97, epsilon: 0.6836012443669741
episode: 190, score: -99.4850626582799, average_score : -87.72225887225203, number of frames: 157, epsilon: 0.6822340418782402
episode: 191, score: -80.42155313625673, average_score : -87.09764566166524, number of frames: 92, epsilon: 0.6808695737944838
episode: 192, score: -84.3638390471638, average_score : -87.1137866724047, number of frames: 136, epsilon: 0.6795078346468948
episode: 193, score: -96.1312929581635, average_score : -86.60035588809825, number of frames: 64, epsilon: 0.678148818977601
episode: 194, score: -61.03736516549309, average_score : -86.04189429494657, number of frames: 120, epsilon: 0.6767925213396458
episode: 195, score: -82.33245927887398, average_score : -86.07007873463056, number of frames: 84, epsilon: 0.6754389362969666
episode: 196, score: -44.235755206820556, average_score : -85.72467766490291, number of frames: 124, epsilon: 0.6740880584243727
episode: 197, score: -32.570605725321556, average_score : -85.09931932518684, number of frames: 88, epsilon: 0.6727398823075239
episode: 198, score: -70.58523429319862, average_score : -84.69047115057728, number of frames: 72, epsilon: 0.6713944025429088
episode: 199, score: -49.931750524566375, average_score : -85.13570551698989, number of frames: 122, epsilon: 0.670051613737823
episode: 200, score: -20.71795606984533, average_score : -84.59133969729506, number of frames: 227, epsilon: 0.6687115105103473
episode: 201, score: -104.8490185113464, average_score : -83.80947670870904, number of frames: 139, epsilon: 0.6673740874893266
episode: 202, score: -101.83824754383681, average_score : -84.071706075222, number of frames: 74, epsilon: 0.6660393393143479
episode: 203, score: -20.397241809692872, average_score : -81.90174708214028, number of frames: 132, epsilon: 0.6647072606357192
episode: 204, score: -81.64023241165003, average_score : -81.77196642472242, number of frames: 162, epsilon: 0.6633778461144477
episode: 205, score: -111.77766400309162, average_score : -81.8867534092428, number of frames: 84, epsilon: 0.6620510904222189
episode: 206, score: -56.64388892746247, average_score : -81.63181821936817, number of frames: 111, epsilon: 0.6607269882413744
episode: 207, score: -51.79640741336203, average_score : -81.09889378308931, number of frames: 84, epsilon: 0.6594055342648917
episode: 208, score: -53.3573948343589, average_score : -80.34203833609227, number of frames: 94, epsilon: 0.6580867231963619
episode: 209, score: -94.60018974367982, average_score : -80.33269051749662, number of frames: 139, epsilon: 0.6567705497499692
episode: 210, score: -41.6112727043812, average_score : -79.88332665935077, number of frames: 124, epsilon: 0.6554570086504692
episode: 211, score: -86.77604820251861, average_score : -80.05045266464161, number of frames: 123, epsilon: 0.6541460946331682
